Name,Description,Category,Priority,Due Date,Done,Recurrence
Book physio appointment,Address recurring shoulder tension,Health,Low,30/12/2025,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Medium,30/12/2025,Yes,
Update dependencies,Upgrade outdated packages to latest versions,Work,Medium,30/12/2025,Yes,Daily
Print contract,Download and print required contract,General,Medium,30/12/2025,No,Daily
Compare prices for coffee beans,Find best deal before purchasing,Shopping,High,30/12/2025,Yes,Weekly
Weigh in and log progress,Record in health tracking app,Health,Low,30/12/2025,No,Weekly
Research pension contributions,Review employer match options,Finance,Low,30/12/2025,No,Weekly
Meditation 30 minutes,Mindfulness session using app,Health,Low,30/12/2025,Yes,
Renew parking permit,Submit renewal before current one expires,General,Medium,30/12/2025,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Low,30/12/2025,No,
Buy monitor stand,Purchase monitor stand from local store or online,Shopping,Medium,31/12/2025,Yes,
Renew parking permit,Submit renewal before current one expires,General,High,31/12/2025,No,
Renew driving licence,Complete online renewal application,Personal,Medium,31/12/2025,No,Daily
Buy gift for Lena,Find appropriate gift under budget,Shopping,High,31/12/2025,No,
Schedule monthly review,Block calendar time for retrospective,General,High,31/12/2025,No,Monthly
Research pension contributions,Review employer match options,Finance,Medium,31/12/2025,No,
Read chapter of Atomic Habits,Continue reading Atomic Habits,Personal,Low,31/12/2025,Yes,
Follow up on running shoes,Chase outstanding response on running shoes,General,High,31/12/2025,Yes,Weekly
Write in journal,Reflect on the week and set intentions,Personal,High,31/12/2025,Yes,
Plan birthday celebration for dad,"Organise venue, guests and cake",Personal,High,31/12/2025,Yes,
Review pull request #15,Code review for the latest changes,Work,Low,31/12/2025,Yes,Monthly
Deep clean home office,Full clean of the home office,Personal,Medium,31/12/2025,Yes,
Plan birthday celebration for dad,"Organise venue, guests and cake",Personal,Low,31/12/2025,No,
Review monthly budget,Check spending and adjust forecast,Finance,Low,31/12/2025,No,
Update API documentation,Add new endpoints to Swagger docs,Work,High,01/01/2026,Yes,Daily
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,01/01/2026,Yes,
Reply to emails,Clear inbox and action pending messages,General,Medium,01/01/2026,No,Weekly
Deep clean bathroom,Full clean of the bathroom,Personal,Medium,01/01/2026,No,
Update API documentation,Add new endpoints to Swagger docs,Work,Low,01/01/2026,No,Daily
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,01/01/2026,Yes,
Backup files to cloud,Sync important documents to cloud storage,General,Low,01/01/2026,No,Monthly
Meal prep healthy lunches,Cook proteins and salads for the week,Health,High,01/01/2026,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,High,01/01/2026,Yes,
Database migration script,Write and test migration for schema change,Work,Medium,01/01/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,01/01/2026,No,Daily
Gym workout — core,Focus session on core,Health,Low,01/01/2026,Yes,
Transfer savings,Move surplus to ISA or investment account,Finance,Low,01/01/2026,Yes,Monthly
Buy gift for mum,Find appropriate gift under budget,Shopping,Low,01/01/2026,No,Daily
Security audit of settings,Review for vulnerabilities and patch issues,Work,Medium,01/01/2026,Yes,Weekly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,02/01/2026,Yes,Monthly
Renew driving licence,Complete online renewal application,Personal,Low,02/01/2026,Yes,Daily
Book physio appointment,Address recurring shoulder tension,Health,Low,02/01/2026,No,Weekly
File expense report,Collect receipts and submit via portal,Finance,Medium,02/01/2026,Yes,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,02/01/2026,No,
Research pension contributions,Review employer match options,Finance,Medium,02/01/2026,No,
Compare prices for notebook,Find best deal before purchasing,Shopping,High,02/01/2026,Yes,Weekly
Grocery shop,Stock up on weekly essentials,Shopping,Low,02/01/2026,Yes,
Check local news,Read area updates and community notices,General,Medium,02/01/2026,No,Weekly
Database migration script,Write and test migration for schema change,Work,Low,02/01/2026,No,Daily
Grocery shop,Stock up on weekly essentials,Shopping,Low,02/01/2026,No,Weekly
Plan weekend trip,Research destinations and book accommodation,Personal,High,02/01/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Low,02/01/2026,No,
Follow up on desk lamp,Chase outstanding response on desk lamp,General,High,02/01/2026,No,
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Low,03/01/2026,No,
Resolve merge conflict in settings,Fix conflicting changes in branch,Work,High,03/01/2026,Yes,Daily
Deep clean kitchen,Full clean of the kitchen,Personal,Medium,03/01/2026,Yes,
Yoga session 15 minutes,Follow YouTube yoga for flexibility,Health,High,03/01/2026,Yes,
Gym workout — shoulders,Focus session on shoulders,Health,High,03/01/2026,No,Daily
Update emergency contacts,Add new phone numbers and addresses,Personal,High,03/01/2026,Yes,
Reply to emails,Clear inbox and action pending messages,General,Medium,03/01/2026,No,Weekly
Sort digital photo library,Organise and label photos from 2025,Personal,Medium,03/01/2026,Yes,
Weigh in and log progress,Record in health tracking app,Health,Low,03/01/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,03/01/2026,No,
Buy desk lamp,Purchase desk lamp from local store or online,Shopping,Medium,03/01/2026,Yes,Weekly
Check local news,Read area updates and community notices,General,Medium,03/01/2026,No,
Reply to emails,Clear inbox and action pending messages,General,Medium,03/01/2026,Yes,
Check local news,Read area updates and community notices,General,Medium,03/01/2026,No,
Write in journal,Reflect on the week and set intentions,Personal,Medium,04/01/2026,Yes,Weekly
Compare insurance policies,Annual review of home and car cover,Finance,Medium,04/01/2026,No,Monthly
Compare insurance policies,Annual review of home and car cover,Finance,Low,04/01/2026,No,Weekly
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,04/01/2026,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,High,04/01/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,High,04/01/2026,No,Daily
Book physio appointment,Address recurring shoulder tension,Health,High,04/01/2026,No,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,04/01/2026,Yes,Monthly
Review monthly budget,Check spending and adjust forecast,Finance,High,04/01/2026,No,Daily
Order protein powder online,Compare prices and place order for protein powder,Shopping,Medium,04/01/2026,Yes,
Code review session,Review team's open pull requests,Work,Medium,04/01/2026,No,
Rest day — stretching only,Active recovery with light stretching,Health,High,04/01/2026,Yes,Daily
Review monthly budget,Check spending and adjust forecast,Finance,Low,05/01/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,Low,05/01/2026,No,
Sort digital photo library,Organise and label photos from 2025,Personal,High,05/01/2026,Yes,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,05/01/2026,No,
Return winter jacket,Send back unwanted winter jacket within return window,Shopping,Medium,05/01/2026,No,Monthly
Morning run 8km,Steady pace training run,Health,High,05/01/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,Medium,05/01/2026,Yes,
Buy gift for mum,Find appropriate gift under budget,Shopping,High,05/01/2026,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,05/01/2026,No,
Research pension contributions,Review employer match options,Finance,High,05/01/2026,Yes,Monthly
Restock coffee beans,Running low — order more coffee beans,Shopping,Medium,05/01/2026,Yes,
Order running shoes online,Compare prices and place order for running shoes,Shopping,Low,05/01/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,Medium,05/01/2026,No,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,06/01/2026,No,Daily
Refactor notifications module,Clean up legacy code and improve readability,Work,Medium,06/01/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,06/01/2026,Yes,Monthly
Update dependencies,Upgrade outdated packages to latest versions,Work,High,06/01/2026,Yes,Monthly
Restock monitor stand,Running low — order more monitor stand,Shopping,Medium,06/01/2026,No,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Low,06/01/2026,No,
Refactor auth module,Clean up legacy code and improve readability,Work,High,06/01/2026,Yes,
Reply to emails,Clear inbox and action pending messages,General,Medium,06/01/2026,Yes,Daily
Weigh in and log progress,Record in health tracking app,Health,Low,06/01/2026,No,Monthly
Fix UI bug in auth,Investigate and resolve the issue in auth,Work,Medium,06/01/2026,Yes,
Gym workout — core,Focus session on core,Health,Medium,06/01/2026,No,Weekly
Follow up on monitor stand,Chase outstanding response on monitor stand,General,Low,06/01/2026,Yes,
Refactor notifications module,Clean up legacy code and improve readability,Work,Medium,06/01/2026,Yes,
Write in journal,Reflect on the week and set intentions,Personal,Medium,07/01/2026,No,Monthly
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,Medium,07/01/2026,Yes,
Client call preparation,Prepare slides and agenda for client meeting,Work,Medium,07/01/2026,Yes,Weekly
Security audit of dashboard,Review for vulnerabilities and patch issues,Work,High,07/01/2026,No,
Hotfix deployment,Push emergency fix to production,Work,Medium,07/01/2026,Yes,
Pay gas bill,Monthly payment via online banking,Finance,Medium,07/01/2026,Yes,
Weigh in and log progress,Record in health tracking app,Health,High,07/01/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,High,07/01/2026,Yes,Monthly
Reply to emails,Clear inbox and action pending messages,General,Medium,07/01/2026,Yes,Daily
Review credit card statement,Check for any unusual charges,Finance,Low,07/01/2026,No,
Plan birthday celebration for the team,"Organise venue, guests and cake",Personal,Medium,07/01/2026,No,Weekly
Compare prices for vitamins,Find best deal before purchasing,Shopping,Medium,07/01/2026,No,
Read chapter of The Pragmatic Programmer,Continue reading The Pragmatic Programmer,Personal,High,08/01/2026,No,
Restock monitor stand,Running low — order more monitor stand,Shopping,Low,08/01/2026,No,
Order coffee beans online,Compare prices and place order for coffee beans,Shopping,High,08/01/2026,No,
Follow up on protein powder,Chase outstanding response on protein powder,General,Low,08/01/2026,No,
Security audit of settings,Review for vulnerabilities and patch issues,Work,Low,08/01/2026,No,Monthly
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,08/01/2026,No,
Pick up prescription,Collect medication from pharmacy,Shopping,Low,08/01/2026,Yes,Daily
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,08/01/2026,Yes,
Reply to emails,Clear inbox and action pending messages,General,High,08/01/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,08/01/2026,No,
Return vitamins,Send back unwanted vitamins within return window,Shopping,Medium,08/01/2026,No,
Implement filters feature,Build and test the new functionality,Work,Medium,08/01/2026,Yes,
Check local news,Read area updates and community notices,General,Low,08/01/2026,No,Daily
Research pension contributions,Review employer match options,Finance,High,09/01/2026,No,
Implement search feature,Build and test the new functionality,Work,Medium,09/01/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,09/01/2026,No,
Security audit of storage,Review for vulnerabilities and patch issues,Work,High,09/01/2026,No,Monthly
Renew driving licence,Complete online renewal application,Personal,Medium,09/01/2026,No,Daily
Review credit card statement,Check for any unusual charges,Finance,High,09/01/2026,No,
Backup files to cloud,Sync important documents to cloud storage,General,High,09/01/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,High,09/01/2026,No,
Review credit card statement,Check for any unusual charges,Finance,High,09/01/2026,Yes,
Order winter jacket online,Compare prices and place order for winter jacket,Shopping,Medium,09/01/2026,Yes,Daily
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,09/01/2026,Yes,Daily
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,High,09/01/2026,Yes,
Return coffee beans,Send back unwanted coffee beans within return window,Shopping,Medium,10/01/2026,No,Monthly
Renew parking permit,Submit renewal before current one expires,General,High,10/01/2026,No,
Follow up on headphones,Chase outstanding response on headphones,General,High,10/01/2026,Yes,
Renew parking permit,Submit renewal before current one expires,General,High,10/01/2026,Yes,Daily
Pay off credit card balance,Clear full balance before due date,Finance,Medium,10/01/2026,Yes,Daily
Doctor checkup,Annual physical examination,Health,Low,10/01/2026,No,
Update dependencies,Upgrade outdated packages to latest versions,Work,Medium,10/01/2026,Yes,
Pay off credit card balance,Clear full balance before due date,Finance,High,10/01/2026,No,Daily
Reply to emails,Clear inbox and action pending messages,General,Medium,10/01/2026,Yes,Weekly
Buy running shoes,Purchase running shoes from local store or online,Shopping,Low,10/01/2026,No,
New Year goals review,Check progress on annual objectives,Personal,Medium,10/01/2026,Yes,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,High,10/01/2026,No,Weekly
Weigh in and log progress,Record in health tracking app,Health,Medium,10/01/2026,No,
Plan birthday celebration for Marco,"Organise venue, guests and cake",Personal,High,11/01/2026,Yes,Daily
Take vitamins,"D3, B12 and Omega-3 daily supplements",Health,Medium,11/01/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,Medium,11/01/2026,Yes,Monthly
Cancel unused subscription,Remove service no longer needed,Finance,High,11/01/2026,No,Monthly
Morning run 5km,Steady pace training run,Health,Medium,11/01/2026,Yes,Daily
Morning run 8km,Steady pace training run,Health,Medium,11/01/2026,No,Weekly
Compare prices for monitor stand,Find best deal before purchasing,Shopping,Low,11/01/2026,No,Weekly
Morning run 8km,Steady pace training run,Health,Low,11/01/2026,Yes,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,11/01/2026,No,Daily
Refactor auth module,Clean up legacy code and improve readability,Work,Medium,11/01/2026,Yes,Monthly
Write in journal,Reflect on the week and set intentions,Personal,Medium,11/01/2026,No,
Compare prices for coffee beans,Find best deal before purchasing,Shopping,Medium,11/01/2026,No,Weekly
Transfer savings,Move surplus to ISA or investment account,Finance,Medium,11/01/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,Low,11/01/2026,No,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,12/01/2026,Yes,Monthly
Reply to emails,Clear inbox and action pending messages,General,High,12/01/2026,Yes,
Sort digital photo library,Organise and label photos from 2024,Personal,Medium,12/01/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,Low,12/01/2026,Yes,Monthly
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Medium,12/01/2026,No,Monthly
Check local news,Read area updates and community notices,General,Medium,12/01/2026,Yes,Daily
Cancel unused subscription,Remove service no longer needed,Finance,Medium,12/01/2026,Yes,
Check investment portfolio,Review ETF performance and rebalance,Finance,Medium,12/01/2026,No,Monthly
Print invoice,Download and print required invoice,General,Low,12/01/2026,No,
Buy gift for Marco,Find appropriate gift under budget,Shopping,Low,12/01/2026,No,
Write technical spec for notifications,Document architecture and implementation plan,Work,Medium,12/01/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,High,12/01/2026,Yes,
Submit tax documents,Upload supporting documents to HMRC,Finance,Medium,12/01/2026,Yes,Monthly
Check investment portfolio,Review ETF performance and rebalance,Finance,Low,13/01/2026,No,Monthly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Medium,13/01/2026,No,
Update passwords,Rotate credentials for key accounts,General,Low,13/01/2026,Yes,
Meditation 15 minutes,Mindfulness session using app,Health,Medium,13/01/2026,No,Monthly
Buy monitor stand,Purchase monitor stand from local store or online,Shopping,High,13/01/2026,Yes,Monthly
Order running shoes online,Compare prices and place order for running shoes,Shopping,High,13/01/2026,No,
Cancel unused subscription,Remove service no longer needed,Finance,High,13/01/2026,Yes,
Set up standing order,Automate monthly savings transfer,Finance,Medium,13/01/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,13/01/2026,No,Daily
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,13/01/2026,Yes,
Book physio appointment,Address recurring shoulder tension,Health,Low,13/01/2026,Yes,
Pick up prescription,Collect medication from pharmacy,Shopping,High,13/01/2026,No,
Book eye test appointment,Schedule overdue check with optician,Personal,High,13/01/2026,No,Monthly
Set up CI/CD pipeline,Automate build and deployment process,Work,Medium,14/01/2026,No,
Update emergency contacts,Add new phone numbers and addresses,Personal,Medium,14/01/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,High,14/01/2026,No,Daily
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,14/01/2026,Yes,Weekly
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,14/01/2026,Yes,
Buy vitamins,Purchase vitamins from local store or online,Shopping,Medium,14/01/2026,Yes,Monthly
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,14/01/2026,No,
Deep clean living room,Full clean of the living room,Personal,Medium,14/01/2026,No,
Meal prep for the week,Cook and portion meals for Monday to Friday,Personal,Medium,14/01/2026,No,Monthly
Restock winter jacket,Running low — order more winter jacket,Shopping,Medium,14/01/2026,No,Monthly
Reply to emails,Clear inbox and action pending messages,General,Medium,14/01/2026,Yes,Daily
Buy gift for Bob,Find appropriate gift under budget,Shopping,Low,14/01/2026,No,Daily
File expense report,Collect receipts and submit via portal,Finance,Medium,14/01/2026,No,Weekly
Book physio appointment,Address recurring shoulder tension,Health,Low,15/01/2026,No,
Gym workout — shoulders,Focus session on shoulders,Health,High,15/01/2026,Yes,
Buy winter jacket,Purchase winter jacket from local store or online,Shopping,Low,15/01/2026,No,Daily
Buy headphones,Purchase headphones from local store or online,Shopping,Medium,15/01/2026,No,Daily
Research productivity systems,Read articles and save key notes,Personal,High,15/01/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,15/01/2026,No,
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,15/01/2026,No,
Pick up prescription,Collect medication from pharmacy,Shopping,High,15/01/2026,No,Daily
Schedule monthly review,Block calendar time for retrospective,General,Medium,15/01/2026,No,
Doctor checkup,Annual physical examination,Health,Medium,15/01/2026,No,
Rest day — stretching only,Active recovery with light stretching,Health,Low,15/01/2026,No,
Review credit card statement,Check for any unusual charges,Finance,Low,15/01/2026,Yes,
Call the team,Catch up with the team over the phone,Personal,Medium,15/01/2026,No,Weekly
Update passwords,Rotate credentials for key accounts,General,Medium,16/01/2026,Yes,Monthly
Cancel unused subscription,Remove service no longer needed,Finance,High,16/01/2026,No,
Submit tax documents,Upload supporting documents to HMRC,Finance,Low,16/01/2026,Yes,Weekly
New Year goals review,Check progress on annual objectives,Personal,High,16/01/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,16/01/2026,No,Weekly
Weigh in and log progress,Record in health tracking app,Health,High,16/01/2026,Yes,
Buy gift for mum,Find appropriate gift under budget,Shopping,Medium,16/01/2026,Yes,Daily
Sprint planning meeting,Define user stories and assign tickets,Work,High,16/01/2026,Yes,
Return keyboard,Send back unwanted keyboard within return window,Shopping,Low,16/01/2026,No,
Restock keyboard,Running low — order more keyboard,Shopping,Medium,16/01/2026,No,Weekly
Pay off credit card balance,Clear full balance before due date,Finance,High,16/01/2026,No,Weekly
Buy gift for Bob,Find appropriate gift under budget,Shopping,Medium,16/01/2026,Yes,
Schedule monthly review,Block calendar time for retrospective,General,High,16/01/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,High,16/01/2026,No,Weekly
Update passwords,Rotate credentials for key accounts,General,Medium,16/01/2026,Yes,Monthly
New Year goals review,Check progress on annual objectives,Personal,Medium,16/01/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,High,17/01/2026,Yes,Weekly
Plan weekend trip,Research destinations and book accommodation,Personal,Medium,17/01/2026,No,Daily
Grocery shop,Stock up on weekly essentials,Shopping,Medium,17/01/2026,Yes,Monthly
Refactor notifications module,Clean up legacy code and improve readability,Work,High,17/01/2026,No,Daily
Update API documentation,Add new endpoints to Swagger docs,Work,Medium,17/01/2026,No,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,17/01/2026,No,Weekly
Grocery shop,Stock up on weekly essentials,Shopping,Low,17/01/2026,No,Monthly
Blood pressure check,Visit pharmacy for quick reading,Health,Low,17/01/2026,No,Weekly
Return headphones,Send back unwanted headphones within return window,Shopping,Medium,17/01/2026,No,Weekly
Write in journal,Reflect on the week and set intentions,Personal,Low,17/01/2026,Yes,Monthly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Medium,17/01/2026,Yes,Daily
Submit tax documents,Upload supporting documents to HMRC,Finance,High,17/01/2026,No,Monthly
Update passwords,Rotate credentials for key accounts,General,Medium,17/01/2026,No,Daily
Rest day — stretching only,Active recovery with light stretching,Health,Medium,17/01/2026,Yes,
Clean up desktop,Organise files and remove shortcuts,General,Low,18/01/2026,No,
Meal prep healthy lunches,Cook proteins and salads for the week,Health,Medium,18/01/2026,Yes,
Follow up on notebook,Chase outstanding response on notebook,General,Medium,18/01/2026,No,
File expense report,Collect receipts and submit via portal,Finance,Medium,18/01/2026,Yes,
Write unit tests for auth,Increase test coverage for auth,Work,Low,18/01/2026,No,
Write unit tests for reports,Increase test coverage for reports,Work,Medium,18/01/2026,No,
Gym workout — back and biceps,Focus session on back and biceps,Health,High,18/01/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,18/01/2026,No,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,18/01/2026,No,Daily
Research pension contributions,Review employer match options,Finance,Medium,18/01/2026,Yes,
Update emergency contacts,Add new phone numbers and addresses,Personal,High,18/01/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,Low,18/01/2026,Yes,Daily
Check local news,Read area updates and community notices,General,Medium,18/01/2026,No,
Check investment portfolio,Review ETF performance and rebalance,Finance,High,18/01/2026,No,Daily
Check local news,Read area updates and community notices,General,Medium,19/01/2026,No,Weekly
Sort digital photo library,Organise and label photos from 2024,Personal,High,19/01/2026,No,Daily
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,High,19/01/2026,No,
Update emergency contacts,Add new phone numbers and addresses,Personal,Medium,19/01/2026,Yes,
Submit tax documents,Upload supporting documents to HMRC,Finance,High,19/01/2026,No,Monthly
Grocery shop,Stock up on weekly essentials,Shopping,Low,19/01/2026,Yes,
Yoga session 5 minutes,Follow YouTube yoga for flexibility,Health,Medium,19/01/2026,No,Weekly
Schedule monthly review,Block calendar time for retrospective,General,Low,19/01/2026,Yes,
Refactor API module,Clean up legacy code and improve readability,Work,Medium,19/01/2026,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,Medium,19/01/2026,No,
Shop for winter essentials,Buy thermal layers and accessories,Shopping,High,19/01/2026,No,Weekly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,Low,19/01/2026,No,
Pay gas bill,Monthly payment via online banking,Finance,Medium,20/01/2026,Yes,
Hotfix deployment,Push emergency fix to production,Work,Medium,20/01/2026,No,Weekly
Clean up desktop,Organise files and remove shortcuts,General,Medium,20/01/2026,No,
Gym workout — core,Focus session on core,Health,Medium,20/01/2026,Yes,Weekly
Schedule monthly review,Block calendar time for retrospective,General,Low,20/01/2026,Yes,
Deep clean home office,Full clean of the home office,Personal,Medium,20/01/2026,No,
Compare prices for protein powder,Find best deal before purchasing,Shopping,Low,20/01/2026,No,Weekly
Pick up prescription,Collect medication from pharmacy,Shopping,Medium,20/01/2026,No,
Review monthly budget,Check spending and adjust forecast,Finance,Low,20/01/2026,No,Daily
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,High,20/01/2026,No,
Gym workout — chest and triceps,Focus session on chest and triceps,Health,High,20/01/2026,No,
Client call preparation,Prepare slides and agenda for client meeting,Work,Medium,20/01/2026,No,
Check local news,Read area updates and community notices,General,Medium,20/01/2026,No,
Meditation 30 minutes,Mindfulness session using app,Health,Low,20/01/2026,Yes,Weekly
Fix auth bug in dashboard,Investigate and resolve the issue in dashboard,Work,Medium,21/01/2026,No,Monthly
Plan birthday celebration for Marco,"Organise venue, guests and cake",Personal,Medium,21/01/2026,No,
Morning run 20km,Steady pace training run,Health,High,21/01/2026,No,Weekly
Fix CSS layout on profile page,Resolve responsive design issues,Work,Medium,21/01/2026,No,
Fix minor bug in storage,Investigate and resolve the issue in storage,Work,Medium,21/01/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,Low,21/01/2026,Yes,Monthly
Book physio appointment,Address recurring shoulder tension,Health,High,21/01/2026,No,Daily
Research productivity systems,Read articles and save key notes,Personal,Low,21/01/2026,No,Weekly
Print form,Download and print required form,General,Medium,21/01/2026,No,Daily
Shop for winter essentials,Buy thermal layers and accessories,Shopping,Medium,21/01/2026,No,
Return headphones,Send back unwanted headphones within return window,Shopping,Medium,21/01/2026,Yes,
Review monthly budget,Check spending and adjust forecast,Finance,Low,21/01/2026,Yes,Monthly
Restock vitamins,Running low — order more vitamins,Shopping,High,22/01/2026,No,
Book physio appointment,Address recurring shoulder tension,Health,High,22/01/2026,Yes,
Write unit tests for storage,Increase test coverage for storage,Work,Medium,22/01/2026,Yes,
Cancel unused subscription,Remove service no longer needed,Finance,Medium,22/01/2026,No,
Yoga session 30 minutes,Follow YouTube yoga for flexibility,Health,Medium,22/01/2026,No,Weekly
Doctor checkup,Annual physical examination,Health,Low,22/01/2026,No,Daily
Code review session,Review team's open pull requests,Work,Medium,22/01/2026,Yes,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,22/01/2026,No,Weekly
Security audit of checkout,Review for vulnerabilities and patch issues,Work,Low,22/01/2026,No,Daily
Refactor dashboard module,Clean up legacy code and improve readability,Work,Low,22/01/2026,Yes,Weekly
Grocery shop,Stock up on weekly essentials,Shopping,Medium,22/01/2026,Yes,
Grocery shop,Stock up on weekly essentials,Shopping,Low,22/01/2026,No,
Gym workout — shoulders,Focus session on shoulders,Health,High,22/01/2026,No,
Set up CI/CD pipeline,Automate build and deployment process,Work,Low,23/01/2026,Yes,
Compare insurance policies,Annual review of home and car cover,Finance,Medium,23/01/2026,Yes,
Team standup preparation,Prepare blockers and progress updates,Work,Medium,23/01/2026,No,
Gym workout — shoulders,Focus session on shoulders,Health,Medium,23/01/2026,No,Monthly
Code review session,Review team's open pull requests,Work,Medium,23/01/2026,Yes,Weekly
Restock home office supplies,"Paper, pens, sticky notes and snacks",Shopping,Low,23/01/2026,No,
Plan birthday celebration for Sarah,"Organise venue, guests and cake",Personal,High,23/01/2026,Yes,
Declutter wardrobe,Bag up old clothes for charity donation,Personal,High,23/01/2026,No,
Check local news,Read area updates and community notices,General,Medium,23/01/2026,No,
Research productivity systems,Read articles and save key notes,Personal,Low,23/01/2026,Yes,
Gym workout — back and biceps,Focus session on back and biceps,Health,High,23/01/2026,Yes,
Blood pressure check,Visit pharmacy for quick reading,Health,High,23/01/2026,Yes,
Restock vitamins,Running low — order more vitamins,Shopping,Medium,23/01/2026,No,
Print invoice,Download and print required invoice,General,High,23/01/2026,No,
Pay gas bill,Monthly payment via online banking,Finance,Medium,23/01/2026,Yes,
Rest day — stretching only,Active recovery with light stretching,Health,Medium,23/01/2026,Yes,Monthly
Renew driving licence,Complete online renewal application,Personal,Medium,23/01/2026,Yes,Monthly
Blood pressure check,Visit pharmacy for quick reading,Health,High,24/01/2026,No,Weekly
Clean up desktop,Organise files and remove shortcuts,General,High,24/01/2026,No,
Review credit card statement,Check for any unusual charges,Finance,Medium,24/01/2026,No,
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,High,24/01/2026,No,
Blood pressure check,Visit pharmacy for quick reading,Health,Medium,24/01/2026,Yes,Monthly
Declutter wardrobe,Bag up old clothes for charity donation,Personal,Medium,24/01/2026,No,
Track water intake,Aim for 2.5L throughout the day,Health,Medium,24/01/2026,Yes,
Update passwords,Rotate credentials for key accounts,General,High,24/01/2026,No,
Plan weekend trip,Research destinations and book accommodation,Personal,Medium,24/01/2026,Yes,
Follow up on notebook,Chase outstanding response on notebook,General,High,24/01/2026,No,Weekly
Organise home office,"Tidy cables, sort desk and restock supplies",Personal,High,24/01/2026,No,
Clean up desktop,Organise files and remove shortcuts,General,High,24/01/2026,No,Daily
Hotfix deployment,Push emergency fix to production,Work,Low,24/01/2026,Yes,Weekly
